wikiname;variations;author;author_firstname;wikiID;freq;repoID;pub_year;genre;text_source;normalised_title;best_match_student_eds;student_edition;score_student_eds;author_complete;best_match_works;works;score_works
DAVID_COPPERFIELD;['David Copperfield', 'David Copperfield,'];Dickens;Charles;Q189811;18;766;1850;(['autobiographical novel', 'Bildungsroman'], ['novel']);Gutenberg-US;david copperfield;david copperfield;1;100;charles dickens;charles dickens;1;100
DAVID_ELGINBROD;['David Elginbrod'];MacDonald;George;Q5233331;2;2291;1863;([], ['novel']);Gutenberg-US;david elginbrod;david copperfield;0;56.25;george macdonald;george macdonald;1;100
DE_PROFUNDIS_(LETTER);['De Profundis'];Wilde;Oscar;Q1249459;9;921;1905;(['epistle'], []);Gutenberg-US;de profundis (letter);the princesse de cl?es: with `the princesse de montpensier' and `the comtesse de tende';0;85.5;oscar wilde;oscar wilde;1;100
DEERBROOK;['Deerbrook'];Martineau;Harriet;noWikiID;2;24210;1839;;Gutenberg-US;deerbrook;the countess of pembroke's arcadia (the old arcadia);0;57;harriet martineau;harriet martineau;1;100
DEMOS;['Demos'];Gissing;Demos;noWikiID;4;4309;1886;novel;Gutenberg-US;demos;william blake: selected poems;0;67.5;demos gissing;george gissing;0;74.07407407
DESPERATE_REMEDIES;['Desperate Remedies'];Hardy;Thomas;Q2846293;3;3044;1871;([], ['novel']);Gutenberg-US;desperate remedies;desperate remedies;1;100;thomas hardy;thomas hardy;1;100
DIANA_OF_THE_CROSSWAYS;['Diana of the Crossways'];Meredith;George;Q5271362;1;4470;1884;([], ['novel']);Gutenberg-US;diana of the crossways;lady susan, the watsons, and sanditon: unfinished fictions and other writings;0;85.5;george meredith;george meredith;1;100
DISCIPLINE;['Discipline'];Brunton;Mary;noWikiID;4;38510;1814;novel;Gutenberg-US;discipline;arms and the man, the devil's disciple, caesar and cleopatra;0;72;mary brunton;mary richards, (mary elizabeth);0;85.5
DOCTOR_THORNE;['Doctor Thorne'];Trollope;Anthony;noWikiID;2;3166;1858;novel;Gutenberg-US;doctor thorne;doctor thorne tv tie-in with a foreword by julian fellowes: the chronicles of barsetshire;1;90;anthony trollope;anthony trollope;1;100
DOMBEY_AND_SON;['Dombey and Son'];Dickens;Charles;Q963659;30;821;1846;(['social criticism'], ['novel']);Gutenberg-US;dombey and son;dombey and son;1;100;charles dickens;charles dickens;1;100
DR_JEKYLL_AND_MR_HYDE;['Jekyll and Hyde'];Stevenson;Robert Louis;Q217352;51;43;1886;(['sensation fiction', 'Gothic fiction', 'science fiction', 'crime fiction'], ['novella', 'novel']);Gutenberg-US;dr jekyll and mr hyde;strange case of dr jekyll and mr hyde and other tales;1;90;robert louis stevenson;robert louis stevenson;1;100
DRACULA;['Dracula', 'In Dracula'];Stoker;Bram;Q41542;95;345;1897;(['epistolary novel', 'invasion literature', 'Gothic fiction', 'vampire fiction', 'horror fiction', 'Romanticism'], ['novel']);Gutenberg-US;dracula;dracula;1;100;bram stoker;bram stoker;1;100
DREAMERS_OF_THE_GHETTO;['Dreamers of the Ghetto'];Zangwill;Israel;noWikiID;1;29875;1898;novel;Gutenberg-US;dreamers of the ghetto;lady susan, the watsons, and sanditon: unfinished fictions and other writings;0;85.5;israel zangwill;ae;0;90
DUBLINERS;['Dubliners'];Joyce;James;Q459592;52;2814;1914;short stories;Gutenberg-US;dubliners;dubliners;1;100;james joyce;james joyce;1;100
EAST_LYNNE;['East Lynne'];Wood;Ellen;Q5328900;42;3322;1861;(['sensation fiction'], ['novel']);Gutenberg-US;east lynne;east lynne;1;100;ellen wood;ellen von unwerth;0;85.5
EMMA_(NOVEL);['Emma'];Austen;Jane;Q223880;38;158;1815;(['romantic fiction'], ['novel']);Gutenberg-US;emma (novel);emma;1;90;jane austen;jane austen;1;100
EMMA_OR_THE_UNFORTUNATE_ATTACHMENT;['Emma'];Cavendish;Georgiana;noWikiID;2;pdf;1773;novel;PDF;emma or the unfortunate attachment;lady susan, the watsons, and sanditon: unfinished fictions and other writings;0;85.5;georgiana cavendish;william cavendish newcastle, duke of;0;85.5
EMMELINE;['Emmeline, the Orphan of the Castle', 'Emmeline', 'Castle from Emmeline, the Orphan of the Castle'];Smith;Charlotte;Q5373421;6;41646;1788;(['Gothic fiction'], ['novel']);Gutenberg-US;emmeline;emma;0;77.14285714;charlotte smith;charlotte smith;1;100
ENNUI;['Ennui'];Edgeworth;Maria;Q117149111;2;9439;1809;([], ['novel']);Gutenberg-US;ennui;pride and prejudice;0;54;maria edgeworth;maria edgeworth;1;100
EREWHON;['Erewhon'];Butler;Samuel;Q1350048;10;1906;1872;(['science fiction', 'fantasy', 'satirical fiction', 'utopian fiction', 'lost world fiction'], ['novel']);Gutenberg-US;erewhon;the man who disappeared: (america);0;57;samuel butler;samuel pufendorf, freiherr von;0;85.5
EREWHON_REVISITED;['Erewhon Revisited'];Butler;Samuel;Q5385740;1;1971;1901;([], ['novel']);Gutenberg-US;erewhon revisited;earth;0;54;samuel butler;samuel pufendorf, freiherr von;0;85.5
ERIC_OR_LITTLE_BY_LITTLE;['Eric, or, Little by Little', 'Eric, or Little by Little'];Farrar;Frederic;Q5385958;4;23126;1858;([], ['novel']);Gutenberg-US;eric or little by little;frankenstein: or `the modern prometheus': the 1818 text;0;85.5;frederic farrar;frederic william willmore;0;85.5
ESTHER;['Esther'];Carey;Rosa Nouchette;noWikiID;1;6850;1887;novel;Gutenberg-US;esther;esther waters;0;90;rosa nouchette carey;nessa carey;0;85.5
ESTHER_WATERS;['Esther Waters'];Moore;George;Q5401319;1;8157;1894;([], ['novel']);Gutenberg-US;esther waters;esther waters;1;100;george moore;george moore;1;100
EUGENE_ARAM_(NOVEL);['Eugene Aram'];Bulwer-Lytton;Edward;Q16385636;1;7614;1832;(['historical fiction'], ['novel']);Gutenberg-US;eugene aram (novel);eugene onegin: a novel in verse;0;85.5;edward bulwer-lytton;edward burman;0;85.5
EVELINA;['Evelina'];Burney;Fanny;Q1635110;54;6053;1778;(['epistolary novel'], ['novel']);Gutenberg-US;evelina;belinda;0;71.42857143;fanny burney;fanny burney;1;100
EVENINGS_AT_HOME;['Evenings at Home'];Aikin/Barbauld;John/Anna Laetitia;Q5416654;4;53323;1796;([], ['novel']);Gutenberg-US;evenings at home; oedipus the king and other tragedies: oedipus the king, aias, philoctetes, oedipus at colonus;0;85.5;john/anna laetitia aikin/barbauld;aliki;0;76
EXILUS;"[""Exilus; or, The Banish'd Roman""]";Barker;Jane;noWikiID;1;ebooks@adelaide;1715;;ebooks@adelaide;exilus;exiles;0;83.33333333;jane barker;jane barker;1;100
FANNY_HILL;['Memoirs of a Woman of Pleasure'];Cleland;John;Q1395765;2;25305;1748;(['LGBT-related literature', 'erotica'], ['novel']);Gutenberg-US;fanny hill;billy budd, sailor and selected tales;0;57;john cleland;john leland;0;95.65217391
FANTOMINA;['Fantomina'];Haywood;Eliza;Q5434405;1;https://digital.library.upenn.edu/women/haywood/fantomina/fantomina.html;1725;(['romantic fiction'], ['novel']);https://digital.library.upenn.edu;fantomina;my antonia;0;63.15789474;eliza haywood;eliza fowler haywood, ?;1;85.5
FAR_FROM_THE_MADDING_CROWD;['Far From the Madding Crowd', 'Far from the Madding Crowd'];Hardy;Thomas;Q5642996;5;27;1874;([], ['novel']);Gutenberg-US;far from the madding crowd;far from the madding crowd;1;100;thomas hardy;thomas hardy;1;100
FARDOROUGHA_THE_MISER;['Fardorougha the Miser'];Carleton;William;noWikiID;4;16002;1839;novel;Gutenberg-US;fardorougha the miser;lady susan, the watsons, and sanditon: unfinished fictions and other writings;0;85.5;william carleton;william morgan, , cartographer;0;85.5
FELIX_HOLT_THE_RADICAL;['Felix Holt', 'Felix Holt the Radical'];Eliot;George;Q5442230;9;40882;1866;(['social novel'], ['novel']);Gutenberg-US;felix holt the radical;lady susan, the watsons, and sanditon: unfinished fictions and other writings;0;85.5;george eliot;george eliot;1;100
FIVE_CHILDREN_AND_IT;['Five Children and It'];Nesbit;Edith;noWikiID;1;778;1902;novel;Gutenberg-US;five children and it;lady susan, the watsons, and sanditon: unfinished fictions and other writings;0;85.5;edith nesbit;roy conyers nesbit;0;85.5
FLATLAND;['Flatland'];Abbott;Edwin Abbott;noWikiID;2;97;1884;(['science fiction', 'mathematical fiction', 'satirical fiction'], ['novella']);Gutenberg-US;flatland;flatland: a romance of many dimensions;1;90;edwin abbott abbott;edwin baaske;0;85.5
FOR_THE_TERM_OF_HIS_NATURAL_LIFE;['For the Term of His Natural Life'];Clarke;Marcus;noWikiID;1;3424;1870;(['adventure novel'], []);Gutenberg-US;for the term of his natural life;lady susan, the watsons, and sanditon: unfinished fictions and other writings;0;85.5;marcus clarke;marcus coates,  creator;0;85.5
FORTUNATE_FOUNDLINGS;['Fortunate Foundlings'];Haywood;Eliza;noWikiID;1;10804;1744;novel;Gutenberg-US;fortunate foundlings;roxana: the fortunate mistress;0;85.5;eliza haywood;eliza fowler haywood, ?;1;85.5
FRANKENSTEIN;['Frankenstein', 'Frankenstein or the Modern Prometheus'];Shelley;Mary Wollstonecraft;Q150827;116;84;1818;(['epistolary novel', 'body horror literature', 'Gothic fiction', 'science fiction', 'fantasy'], ['novel']);Gutenberg-US;frankenstein;frankenstein: or `the modern prometheus': the 1818 text;1;90;mary wollstonecraft shelley;mary wollstonecraft shelley;1;100
GHETTO_TRAGEDIES;['Ghetto Tragedies'];Zangwill;Israel;noWikiID;1;35076;1893;collection of stories;Gutenberg-US;ghetto tragedies; oedipus the king and other tragedies: oedipus the king, aias, philoctetes, oedipus at colonus;0;70.75862069;israel zangwill;ae;0;90
GLENARVON;['Glenarvon'];Lamb;Caroline;Q3771960;5;"68754; 68773; 68776";1816;(['novel'], ['novel']);Gutenberg-US;glenarvon;the history of king lear: the oxford shakespeare;0;57;caroline lamb;caroline emily mobwete;0;85.5
GOING_TO_MAYNOOTH;['Going to Maynooth'];Carleton;William;noWikiID;1;16016;1830;collection of stories;Gutenberg-US;going to maynooth;the apple cart, too true to be good, on the rocks, and millionairess;0;85.5;william carleton;william morgan, , cartographer;0;85.5
GRANNY'S_WONDERFUL_CHAIR;"[""Granny's Wonderful Chair""]";Browne;Frances;noWikiID;2;26018;1856;children's book;Gutenberg-US;granny's wonderful chair;chance;0;57;frances browne;frances browne;1;100
GREAT_EXPECTATIONS;['Great Expectations', 'Pip in Great Expectations', 'Great Expectorations'];Dickens;Charles;Q219552;41;1400;1861;(['black comedy', 'Bildungsroman'], ['novel']);Gutenberg-US;great expectations;great expectations;1;100;charles dickens;charles dickens;1;100
GULLIVER'S_TRAVELS;"[""Gulliuer's Travels"", ""Gulliver's Travels"", 'Travels into Several Remote Nations of the World', 'Lemuel Gulliver, Travels into Several Remote Nations of the World', ""Gulliver's Travels(1726"", 'Gulliver in Lilliput', 'Gulliver']";Swift;Jonathan;Q181488;100;829;1726;(['satire', 'fantasy', 'dystopian fiction'], ['novel']);Gutenberg-US;gulliver's travels;gulliver's travels;1;100;jonathan swift;jonathan swift;1;100
GUY_MANNERING;['Guy Mannering'];Scott;Walter;Q2288976;12;2590;1815;(['historical novel'], []);Gutenberg-US;guy mannering;madame bovary: provincial manners;0;60;walter scott;walter scott;1;100
HALF_A_LIFE-TIME_AGO;['Half a Life-time Ago'];Gaskell;Elizabeth;noWikiID;1;2547;1855;short story;Gutenberg-US;half a life-time ago;a journey to the western islands of scotland and the journal of a tour to the hebrides;0;85.5;elizabeth gaskell;elizabeth norton, (historian);0;85.5
HARD_CASH_(NOVEL);['Hard Cash'];Reade;Charles;Q30314349;5;3067;1863;(['sensation fiction'], ['novel']);Gutenberg-US;hard cash (novel);hard times;0;85.5;charles reade;charles reid;0;88
HARD_TIMES_(NOVEL);['Hard Times', 'Sissy Jupe'];Dickens;Charles;Q1340493;41;786;1854;(['social novel', 'serialized fiction'], ['novel']);Gutenberg-US;hard times (novel);hard times;1;90;charles dickens;charles dickens;1;100
HARRINGTON;['Harrington'];Edgeworth;Maria;noWikiID;1;9107;1817;;Gutenberg-US;harrington;washington square;0;70.41176471;maria edgeworth;maria edgeworth;1;100
HAUNTINGS;['Hauntings'];Lee;Vernon;noWikiID;2;9956;1890;collection of stories;Gutenberg-US;hauntings;huntingtower;0;66.66666667;vernon lee;jon lee anderson;0;85.5
HE_KNEW_HE_WAS_RIGHT;['He Knew He Was Right'];Trollope;Anthony;noWikiID;8;5140;1869;novel;Gutenberg-US;he knew he was right;he knew he was right;1;100;anthony trollope;anthony trollope;1;100
HEADLONG_HALL;['Headlong Hall'];Peacock;Thomas Love;Q5689829;2;12803;1816;([], ['novel']);Gutenberg-US;headlong hall;the tenant of wildfell hall;0;85.5;thomas love peacock;thomas lang;0;85.5
HEART_AND_SCIENCE;['Heart and Science'];Collins;Wilkie;noWikiID;4;7892;1882;novel;Gutenberg-US;heart and science;lady susan, the watsons, and sanditon: unfinished fictions and other writings;0;85.5;wilkie collins;wilkie collins;1;100
HEART_OF_DARKNESS;['Heart of Darkness', 'Of Heart of Darkness'];Conrad;Joseph;Q129778;47;219;1899;(['fiction literature', 'serialized fiction'], ['novella']);Gutenberg-US;heart of darkness;heart of darkness and other tales;1;90;joseph conrad;joseph conrad;1;100
HELBECK_OF_BANNISDALE;['Helbeck of Bannisdale'];Ward;Mary Augusta;Q19572074;1;9442;1898;([], ['novel']);Gutenberg-US;helbeck of bannisdale;a journey to the western islands of scotland and the journal of a tour to the hebrides;0;85.5;mary augusta ward;mary richards, (mary elizabeth);0;85.5
HELEN;['Helen'];Edgeworth;Maria;noWikiID;1;8531;1834;novel;Gutenberg-US;helen;his excellency eug?e rougon;0;72;maria edgeworth;maria edgeworth;1;100
HENRY_DUNBAR;['Henry Dunbar'];Braddon;Mary Elizabeth;noWikiID;1;9189;1864;novel;Gutenberg-US;henry dunbar;the education of henry adams;0;85.5;mary elizabeth braddon;mary k. stohr;0;85.5
HEREWARD_THE_WAKE_(NOVEL);['Hereward the Wake'];Kingsley;Charles;Q5738318;3;7815;1866;([], ['novel']);Gutenberg-US;hereward the wake (novel);lady susan, the watsons, and sanditon: unfinished fictions and other writings;0;85.5;charles kingsley;charles c kingsley;1;95
HERMSPRONG;['Hermsprong'];Bage;Robert;Q5742104;1;pdf;1796;([], ['novel']);PDF;hermsprong;she;0;72;robert bage;robert bargery;0;88
HESTER;['Hester'];Oliphant;Margaret;noWikiID;1;"48197; 48198; 48199";1883;;Gutenberg-US;hester;hester;1;100;margaret oliphant;margaret lo;0;85.71428571
HIDE_AND_SEEK;['Hide and Seek'];Collins;Wilkie;noWikiID;1;7893;1854;novel;Gutenberg-US;hide and seek;hide and seek;1;100;wilkie collins;wilkie collins;1;100
HISTORY_OF_JOHN_BULL;['History of John Bull'];Arbuthnot;John;noWikiID;1;2643;1712;prose satire;Gutenberg-US;history of john bull;man and superman, john bull's other island, and major barbara;0;85.5;john arbuthnot;john arbuthnot;1;100
HOLIDAY_HOUSE;['Holiday House'];Sinclair;Catherine;noWikiID;5;32811;1839;children's book;Gutenberg-US;holiday house;the small house at allington: the chronicles of barsetshire;0;85.5;catherine sinclair;catherine knox, (marketing executive);0;85.5
HOWARDS_END;"['Howards End', ""Howard's End"", 'Leonard Bast']";Forster;E. M.;Q1146642;11;2891;1910;(['family drama'], ['novel']);Gutenberg-US;howards end;ward number six and other stories;0;63.52941176;e. m. forster;e. m forster, (edward morgan);1;86.4
HYMNS_IN_PROSE_FOR_CHILDREN;['Hymns in Prose for Children'];Barbauld;Anna Laetitia;Q9005648;4;https://digital.library.upenn.edu/women/barbauld/hymns/hymns-in-prose.html;1781;children's book;https://digital.library.upenn.edu;hymns in prose for children;the duke's children complete: extended edition;0;85.5;anna laetitia barbauld;anna cowper;0;85.5
IMAGINARY_PORTRAITS;['Imaginary Portraits'];Pater;Walter;noWikiID;4;2399;1887;short stories;Gutenberg-US;imaginary portraits;kim;0;72;walter pater;walter pater;1;100
IMPRESSIONS_OF_THEOPHRASTUS_SUCH;['Impressions of Theophrastus Such'];Eliot;George;Q6007633;2;10762;1879;([], ['novella']);Gutenberg-US;impressions of theophrastus such;a journey to the western islands of scotland and the journal of a tour to the hebrides;0;85.5;george eliot;george eliot;1;100
IN_A_GLASS_DARKLY;['In a Glass Darkly'];Sheridan Le Fanu;Joseph;Q6011356;3;37174;1872;(['mystery fiction', 'Gothic literature', 'horror fiction'], ['short story collection']);Gutenberg-US;in a glass darkly;in a glass darkly;1;100;joseph sheridan le fanu;joseph sheridan le fanu;1;100
IN_THE_YEAR_OF_JUBILEE;['In the Year of Jubilee'];Gissing;George;Q19572195;2;4307;1894;([], ['novel']);Gutenberg-US;in the year of jubilee;lady susan, the watsons, and sanditon: unfinished fictions and other writings;0;85.5;george gissing;george gissing;1;100
IT_IS_NEVER_TOO_LATE_TO_MEND_(NOVEL);"[""It's Never Too Late"", ""It's Never Too Late to Mend"", ""It's Never Too Late To Mend"", 'It Is Never Too Late to Mend', 'It is Never Too Late to Mend']";Reade;Charles;Q6091852;7;4606;1856;([], ['novel']);Gutenberg-US;it is never too late to mend (novel);the apple cart, too true to be good, on the rocks, and millionairess;0;85.5;charles reade;charles reid;0;88
IVANHOE;['Ivanhoe', 'Ivanhoe: A Romance'];Scott;Walter;Q840974;41;82;1820;(['historical fiction'], ['novel']);Gutenberg-US;ivanhoe;ivanhoe;1;100;walter scott;walter scott;1;100
JACK_SHEPPARD;['Jack Sheppard'];Ainsworth;William Harrison;noWikiID;2;16215;1839;([], ['novel']);Gutenberg-US;jack sheppard;she;0;90;william harrison ainsworth;william harrison;0;90
JANE_EYRE;['Jane Eyre', 'Jane Eyre: An Autobiography'];Brontë;Charlotte;Q182961;134;1260;1847;(['education novel', 'autobiographical novel', 'romance novel', 'Gothic fiction'], ['novel']);Gutenberg-US;jane eyre;jane eyre;1;100;charlotte brontë;charlotte brontë;1;100
JESSICA'S_FIRST_PRAYER;"[""Jessica's First Prayer""]";Stretton;Hesba;noWikiID;6;50104;1867;children's book;Gutenberg-US;jessica's first prayer;poetry of the first world war: an anthology;0;85.5;hesba stretton;b b;0;85.5
JEZEBEL'S_DAUGHTER;"[""Jezebel's Daughter""]";Collins;Wilkie;noWikiID;1;3633;1880;novel;Gutenberg-US;jezebel's daughter;jezebel's daughter;1;100;wilkie collins;wilkie collins;1;100
JOHN_BURNET_OF_BARNS;['John Burnet of Barns'];Buchan;John;noWikiID;1;40014;1898;novel;Gutenberg-US;john burnet of barns;man and superman, john bull's other island, and major barbara;0;85.5;john buchan;john buchan;1;100
JOHN_HALIFAX_GENTLEMAN;['John Halifax, Gentleman'];Craik;Dinah;Q6237289;5;2351;1856;([], ['novel']);Gutenberg-US;john halifax gentleman;man and superman, john bull's other island, and major barbara;0;85.5;dinah craik;dinah maria mulock craik;1;85.5
JONATHAN_WILD;['Jonathan Wild'];Fielding;Henry;noWikiID;3;5256;1743;novel;Gutenberg-US;jonathan wild;jonathan wild;1;100;henry fielding;henry fielding;1;100
JORROCK'S_JAUNTS_AND_JOLLITIES;"[""Jorrocks' Jaunts and Jollities""]";Surtees;Robert;noWikiID;2;15387;1838;novel;Gutenberg-US;jorrocks' jaunts and jollities;lady susan, the watsons, and sanditon: unfinished fictions and other writings;0;85.5;robert surtees;robert surtees;1;100
JOSEPH_ANDREWS;['Joseph Andrews'];Fielding;Henry;Q784226;2;"9611; 9609";1742;(['comic novel'], ['novel']);Gutenberg-US;joseph andrews;joseph andrews and shamela;1;90;henry fielding;henry fielding;1;100
JUDE_THE_OBSCURE;['Jude the Obscure', 'Jude The Obscure'];Hardy;Thomas;Q1248773;28;153;1894;([], ['novel']);Gutenberg-US;jude the obscure;jude the obscure;1;100;thomas hardy;thomas hardy;1;100
JUST_SO_STORIES;['Just So Stories'];Kipling;Rudyard;Q1247723;2;2781;1902;children's book;Gutenberg-US;just so stories;just so stories for little children;1;90;rudyard kipling;rudyard kipling;1;100
KENILWORTH;['Kenilworth'];Scott;Walter;Q2600597;2;1606;1821;(['historical novel'], []);Gutenberg-US;kenilworth;ruth;0;77.14285714;walter scott;walter scott;1;100
KIDNAPPED_(NOVEL);['Kidnapped'];Stevenson;Robert Louis;Q2349094;11;421;1886;"(['adventure novel', 'historical novel', 'fiction', ""children's literature""], ['novel'])";Gutenberg-US;kidnapped (novel);kidnapped;1;90;robert louis stevenson;robert louis stevenson;1;100
KIM_(NOVEL);"['Kim', ""Kimball O'Hara""]";Kipling;Rudyard;Q589868;39;2226;1901;(['espionage novel'], []);Gutenberg-US;kim (novel);kim;1;90;rudyard kipling;rudyard kipling;1;100
KING_SOLOMON'S_MINES;"[""King Solomon's Mines""]";Haggard;H. Rider;Q1137494;13;2166;1885;(['adventure novel', 'lost world fiction'], ['novel']);Gutenberg-US;king solomon's mines;king solomon's mines;1;100;h. rider haggard;h. rider haggard, (henry rider);1;90
KIPPS;['Kipps'];Wells;H. G.;Q1249082;7;39162;1906;(['social novel', 'comic novel'], ['novel']);Gutenberg-US;kipps;kim;0;72;h. g. wells;h. wells;1;95
KNOCKNAGOW;['If Knocknagow', 'Knocknagow'];Kickham;Charles;noWikiID;8;https://www.exclassics.com/knockngw/knock.txt;1879;novel;Exclassics;knocknagow;no name;0;47.05882353;charles kickham;charles atlas,interviewee (expression);0;85.5
LADY_AUDLEY'S_SECRET;"[""Lady Audley's Secret"", ""When Lady Audley's Secret"", ""Lady Audley's Secrets"", ""Lady Audley' s Secret""]";Braddon;Mary Elizabeth;Q2738351;69;8954;1862;(['sensation fiction'], []);Gutenberg-US;lady audley's secret;lady audley's secret;1;100;mary elizabeth braddon;mary k. stohr;0;85.5
LEVER'S_LORD_KILGOBBIN;"[""Lever's Lord Kilgobbin""]";Lever;Charles;noWikiID;1;8941;1872;novel;Gutenberg-US;lever's lord kilgobbin;lord jim;0;85.5;charles lever;david charles cooper;0;85.5
LIBER_AMORIS;['Liber Amoris'];Hazlitt;William;noWikiID;2;2049;1823;;Gutenberg-US;liber amoris;le morte darthur: the winchester manuscript;0;60;william hazlitt;william hazlitt;1;100
LIFE_AND_ADVENTURES_OF_PETER_WILKINS;['Life and Adventures of Peter Wilkins'];Paltock;Robert;noWikiID;1;51967;1763;novel;Gutenberg-US;life and adventures of peter wilkins;lady susan, the watsons, and sanditon: unfinished fictions and other writings;0;85.5;robert paltock;robert gould, (photographer);0;85.5
LIFE_AND_PERAMBULATIONS_OF_A_MOUSE;['Life and Perambulations of a Mouse'];Kilner;Dorothy;noWikiID;2;1904;1784;children's book;Gutenberg-US;life and perambulations of a mouse;lady susan, the watsons, and sanditon: unfinished fictions and other writings;0;85.5;dorothy kilner;dorothy lloyd griffiths;0;85.5
LIFE'S_LITTLE_IRONIES;"[""Life's Little Ironies""]";Hardy;Thomas;noWikiID;1;3047;1894;short stories;Gutenberg-US;life's little ironies;little dorrit;0;85.5;thomas hardy;thomas hardy;1;100
LILITH;['Lilith'];MacDonald;George;noWikiID;3;1640;1895;novel;Gutenberg-US;lilith;the blithedale romance;0;62.18181818;george macdonald;george macdonald;1;100
LITTLE_DORRIT;['Little Dorrit', 'Little Dorritt', 'Amy Dorrit'];Dickens;Charles;Q565638;38;963;1855;([], ['novel']);Gutenberg-US;little dorrit;little dorrit;1;100;charles dickens;charles dickens;1;100
LITTLE_LORD_FAUNTLEROY;['Little Lord Fauntleroy'];Burnett;Frances Hodgson;Q387480;3;479;1885;"([""children's novel""], [])";Gutenberg-US;little lord fauntleroy;little dorrit;0;85.5;frances hodgson burnett;frances hodgson burnett;1;100
LONGSWORD_(NOVEL);['Longsword'];Leland;Thomas;Q104859091;3;ECCO;1762;novel;ECCO;longsword (novel);the crimes of love: heroic and tragic tales, preceded by an essay on novels;0;55.38461538;thomas leland;thomas jefferson morgan;0;85.5
LORD_JIM;['Lord Jim'];Conrad;Joseph;Q727408;4;5658;1900;(['psychological novel'], []);Gutenberg-US;lord jim;lord jim;1;100;joseph conrad;joseph conrad;1;100
LORNA_DOONE;['Lorna Doone'];Blackmore;R. D.;Q3400981;1;17460;1869;(['romantic fiction'], ['novel']);Gutenberg-US;lorna doone;lorna doone: a romance of exmoor;1;90;r. d. blackmore;d. j hucknall, (david james);0;85.5
LOSS_AND_GAIN;['Loss and Gain'];Newman;John Henry;Q3259809;3;24574;1848;(['philosophical novel', 'campus novel'], []);Gutenberg-US;loss and gain;lady susan, the watsons, and sanditon: unfinished fictions and other writings;0;85.5;john henry newman;john henry newman;1;100
LOST_DIARIES;['Lost Diaries'];Baring;Maurice;noWikiID;1;42542;1913;short stories;Gutenberg-US;lost diaries;paradise lost;0;68.4;maurice baring;maurice walter hubbard;0;85.5
LOVE_AMONG_THE_RUINS;['Love Among the Ruins', 'Love among the Ruins'];Deeping;Warwick;noWikiID;2;42284;1904;novel;Gutenberg-US;love among the ruins;lady susan, the watsons, and sanditon: unfinished fictions and other writings;0;85.5;warwick deeping;warwick kent;0;74.07407407
LOVE_AND_MADNESS;['Love and Madness'];Croft;Herbert;Q6691643;1;https://www.exclassics.com/lovemad/lovemadintro.htm;1780;([], ['novel']);Exclassics;love and madness;lady susan, the watsons, and sanditon: unfinished fictions and other writings;0;85.5;herbert croft;herbert reginald broderick;0;85.5
LOVE_AND_MR_LEWISHAM;['Love and Mr Lewisham'];Wells;H. G.;Q4271834;2;11640;1900;(['novel'], ['novel']);Gutenberg-US;love and mr lewisham;lady susan, the watsons, and sanditon: unfinished fictions and other writings;0;85.5;h. g. wells;h. wells;1;95
"LOVE_IN_EXCESS;_OR_THE_FATAL_ENQUIRY";['Love in Excess'];Haywood;Eliza;Q1588738;20;67612;1719;(['romance novel'], []);Gutenberg-US;"love in excess; or the fatal enquiry";lady susan, the watsons, and sanditon: unfinished fictions and other writings;0;85.5;eliza haywood;eliza fowler haywood, ?;1;85.5
LOVE_INTRIGUES;['Love Intrigues'];Barker;Jane;noWikiID;4;ebooks@adelaide;1713;novel;ebooks@adelaide;love intrigues;about love and other stories;0;85.5;jane barker;jane barker;1;100
MADAM_HOW_AND_LADY_WHY;['Madam How and Lady Why'];Kingsley;Charles;noWikiID;1;1697;1870;children's book;Gutenberg-US;madam how and lady why;lady susan, the watsons, and sanditon: unfinished fictions and other writings;0;85.5;charles kingsley;charles c kingsley;1;95
MAN_AND_WIFE_(NOVEL);['Man and Wife'];Collins;Wilkie;Q16386863;4;1586;1870;([], ['novel']);Gutenberg-US;man and wife (novel);man and wife;1;90;wilkie collins;wilkie collins;1;100
MANSFIELD_PARK;['Mansfield Park'];Austen;Jane;Q469690;34;141;1814;(['romantic fiction'], ['novel']);Gutenberg-US;mansfield park;mansfield park;1;100;jane austen;jane austen;1;100
MARIA_OR_THE_WRONGS_OF_WOMAN;"['Wrongs of Woman', 'The Wrongs of Woman and', 'The Wrongs of Woman', 'The Wrongs of Woman after', 'The Wrongs of Woman, or Maria', 'Wrongs of Woman; or Maria', 'The Wrongs of Woman; or, Maria', 'The Wrongs of Woman: Or, Maria. A Fragment', 'The Wrongs of Women', 'The Wrongs of Woman; or Maria', 'Maria, or The Wrongs of Woman', 'Maria or the Wrongs of Woman']";Wollstonecraft;Mary;Q890170;32;134;1798;(['Gothic novel'], []);Gutenberg-US;maria or the wrongs of woman;mary and the wrongs of woman;1;85.71428571;mary wollstonecraft;mary wollstonecraft;1;100
MARIUS_THE_EPICUREAN;['Marius the Epicurean', 'Marius, the Epicurean'];Pater;Walter;Q5477441;8;4058;1885;(['philosophical fiction', 'historical fiction'], ['novel']);Gutenberg-US;marius the epicurean;lady susan, the watsons, and sanditon: unfinished fictions and other writings;0;85.5;walter pater;walter pater;1;100
MARRIAGE;['Marriage'];Ferrier;Susan;noWikiID;4;12669;1818;novel;Gutenberg-US;marriage;sister carrie;0;69.23076923;susan ferrier;susan d pennybacker, (susan dabney);0;85.5
