short_title;title;review_reference
LOUISA WHARTON;"LOUISA WHARTON. A STORY> FOUNDED ON FACTS: WRITTEN BY HERSELF, IN A SERIES OF LETTERS TO A FRIEND. WHEREIN IS DISPLAYED SOME PARTICULAR CIRCUMSTANCES WHICH HAPPENED DURING THE BLOODY CONTEST IN AMERICA. I. LOUISA'S FATHER AND MOTHER GO TO BATH; THE AMUSEMENTS OF THAT PLACE DESCRIBED> &C. II. SOME ACCOUNT OF CAPTAIN TRUMAN AND HIS FAMILY; HE FALLS IN LOVE WITH LOUISA; HER BROTHER ARRIVES FROM PHILADELPHIA, AND CONFIRMS THE WAR HAVING BROKE OUT. III. CAPTAIN TRUMAN IS ORDERED WITH HIS REGIMENT TO AMERICA; LOUISA IS GREATLY ALARMED, &C. IV. TRUMAN TAKES LEAVE OF LOUISA WITH THE GREATEST TENDERNESS; SHE GIVES HIM HER PICTURE IN MINIATURE; HE GIVES HER A RING, AND THEY VOW MUTUAL CONSTANCY. V. LOUISA'S FATHER GOES TO LONDON, FROM THENCE, WITH GEORGE HIS SON, SETS OUT FOR PHILADELPHIA. VI. A LETTER FROM YOUNG TRUMAN, FULL OF TENDER EXPRESSIONS, &C. VII. A LETTER FROM HER BROTHER, RELATES THE DEATH OF HER FATHER, AND THE CONFISCATION OF ALL THEIR PROPERTY; THEY ARE GREATLY DISTRESSED; AND LOUISA IS SLIGHTED BY SIR JAMES, &C. VIII. THE HISTORY OF CHARLOTTE MODISH, AND LORD SQUANDER. IX. LOUISA AND HER MOTHER IN A DEPLORABLE SITUATION; SHE GETS SOME NEEDLEWORK TO DO, AND IS ADMIRED FOR HER SINGING: LORD SQUANDER TRIES TO SEDUCE HER, &C. X. FANNY IS VERY KIND, BUT GOES INTO THE COUNTRY; LOUISA HEARS THE DISMAL NEWS THAT TRUMAN IS TAKEN BY THE ENEMY, AND CONDEMNED BY WAY OF RETALIATION, &C. XI. A LETTER FROM FANNY, GIVES AN ACCOUNT OF AN UNCLE, WHO IS VERY RICH BY ACCIDENT: HE GIVES THEM MONEY, COMES TO TOWN, &C. XII. SHE HEARS THAT YOUNG TRUMAN IS RELEASED; HE COMES TO ENGLAND WITH HER BROTHER; THEY ALL MEET AT THE HOUSE OF LOUISA, AND ALL PARTIES ARE MADE HAPPY BY MARRIAGE.";
MASQUERADES;"MASQUERADES; OR, WHAT YOU WILL. BY THE AUTHOR OF ELIZA WARWICK, &C. IN FOUR VOLUMES.";"CR52: 155 (Aug 178l);MR65: 74-5 (July 178l);AFII: 2747."
THE SCHOOL FOR MAJESTY;THE SCHOOL FOR MAJESTY: AN ORIENTAL TALE.;
*THE PARSONAGE HOUSE;*THE PARSONAGE HOUSE. A NOVEL BY A YOUNG LADY. IN A SERIES OF LETTERS.;"CR 50: 373-6 (Nov 1780); MR 63: 70 (July 1780); AF II: 385."
LETTERS MORAL AND ENTERTAINING;LETTERS MORAL AND ENTERTAINING. BY MRS. CARTWRIGHT.;"MR 64: 469 (June 1781); AF II: 624."
LOVE AND MADNESS;LOVE AND MADNESS. A STORY TOO TRUE. IN A SERIES OF LETTERS BETWEEN PARTIES WHOSE NAMES WOULD PERHAPS BE MENTIONED WERE THEY LESS WELL KNOWN OR LESS LAMENTED.;MR 62: 326 (Apr 1780).
OTHO AND RUTHA;OTHO AND RUTHA: A DRAMATIC TALE. BY MISS EDWARDS.;"CR52: 159 (Aug 178l);MR66: 309-10 (Apr 1782)."
THE RELAPSE;THE RELAPSE, A NOVEL. IN TWO VOLUMES.;"CR 49: 75-6 (Jan 1780); MR 62: 244 (Mar 1780); AF II: 1257."
NOVELLETTES;"NOVELLETTES, SELECTED FOR THE USE OF YOUNG LADIES AND GENTLEMEN; WRITTEN BY DR. GOLDSMITH, AND MRS. GRIFFITH, &C. AND ILLUSTRATED BY ELEGANT ENGRAVINGS.";
ALWYN;ALWYN: OR THE GENTLEMAN COMEDIAN. IN TWO VOLUMES.;"CR 51: 319 (Apr 1781); MR 63: 233 (Sept 1780); AF II: 1998."
HISTORY OF LADY BETTESWORTH AND CAPTAIN HASTINGS;HISTORY OF LADY BETTESWORTH AND CAPTAIN HASTINGS. IN A SERIES OF LETTERS. IN TWO VOLUMES.;"CR 51: 319 (Apr 1781); MR63: 151 (Aug 1780);AF II: 1963."
THE COUNT DE POLAND;THE COUNT DE POLAND, BY MISS M. MINIFIE, ONE OF THE AUTHORS OF LADY FRANCES AND LADY CAROLINE S--:-.;"CR 50: 168-73 (Sept 1780); MR 63: 388 (Nov 1780); AF II: 2882."
FEMALE STABILITY;"FEMALE STABILITY; OR THE HISTORY OF MISS BELVILLE. IN A SERIES OF LETTERS. BY THE LATE MISS PALMER.";"MR66: 394 (May 1782);AF II: 3198."
A NEW AND COMPLETE COLLECTION OF INTERESTING ROMANCES AND NOVELS;"A NEW AND COMPLETE COLLECTION OF INTERESTING ROMANCES AND NOVELS; TRANSLATED FROM THE FRENCH, BY MR PORNEY, TEACHER OF THE FRENCH LANGUAGE AT RICHMOND, SURRY. DESIGNED FOR INSTRUCTION AS WELL AS ENTERTAINMENT, BEING CALCULATED TO CONVEY A GENERAL KNOWLEDGE OF THE WORLD; AND CONSISTING OF THE MOST VALUABLE AND IMPORTANT ROMANCES, NOVELS, FABLES, ALLEGORIES, MEMOIRS, ADVENTURES, HISTORIES, ANECDOTES, &C. NOT TO BE FOUND IN ANY OTHER WORK WHATEVER IN ENGLISH. EMBELLISHED WITH AN ELEGANT SET OF COPPER-PLATE PRINTS, DESIGNED BY THE CELEBRATED MR. DODD AND THE INGENIOUS MR. DIGHTON, AND ENGRAVED IN A SUPERIOR STYLE OF EXCELLENCE BY THOSE EMINENT ARTISTS, MESSRS. WELLS, HOW, AND MEARS-THE IMPRESSIONS OF WHICH BEING ALL EXCEEDINGLY FINE, AND EXECUTED IN THE BEST MANNER ON FRENCH PAPER.";
EMMA CORBETT;"EMMA CORBETT; OR, THE MISERIES OF CIVIL WAR. FOUNDED ON SOME RECENT CIRCUMSTANCES WHICH HAPPENED IN AMERICA. BY THE AUTHOR OF LIBERAL OPINIONS, PUPIL OF PLEASURE, SHENSTONE GREEN, &C.";"CR49: 460-2 (June 1780); MR63: 310-11 (Oct 1780);AF II: 3566."
THE HISTORY OF LEWIS DE MARCHMENT;THE HISTORY OF LEWIS DE MARCHMENT, OR WONDERFUL EVENTS.;
THE ADVENTURES OF A HACKNEY COACH;THE ADVENTURES OF A HACKNEY COACH.;"CRSl: 284-7 (Apr 1781), MR64:468 (June 1781) vol. l;CR52: 159 (Aug 1781),MR65: 389-90 (Nov 1781) vol. 2; AF II: 24-25."
COLONEL ORMSBY;"COLONEL ORMSBY; OR THE GENUINE HISTORY OF AN IRISH NOBLEMAN, IN THE FRENCH SERVICE.";MR 67: 69 (July 1782).
LES DEUCES DU SENTIMENT;"LES DEUCES DU SENTIMENT; OR THE PASSIONATE LOVERS: IN A SERIES OF LETTERS WHICH HAVE RECENTLY PASSED BETWEEN TWO CELEBRATED CHARACTERS, WELL KNOWN IN POLITE LIFE FOR THEIR VIRTUES, TALENTS, AND ACCOMPLISHMENTS. WITH A TRANSLATION FROM THE ORIGINALS. WRITTEN IN CYPHER.";"CR 54: 320 (Oct 1782); MR 67: 70 (July 1782)."
THE DENOUEMENT;THE DENOUEMENT: OR, HISTORY OF LADY LOUISA WINGROVE. BY A LADY.;
DISTREST VIRTUE;"DISTREST VIRTUE; OR, THE HISTORY OF MISS HARRIET NELSON. IN WHICH IS INCLUDED THE UNHAPPY STORY OF MISS CAROLINE LENOX. IN A SERIES OF LETTERS. IN THREE VOLUMES.";"CR52: 155 (Aug 1781); MR65: 75 (July 1781)."
EDAL VILLAGE;EDAL VILLAGE: OR, THE FORTUNATE LOTTERY TICKET. IN TWO VOLUMES.;"CR 51: 319 (Apr 1781); MR 64: 121-9 (Feb 1781); AF II: 1206."
FASHIONABLE LIFE;"FASHIONABLE LIFE; OR, THE HISTORY OF MISS LOUISA FERMOR. A NOVEL. BY A LADY.";
THE FEMALE MONITOR;THE FEMALE MONITOR, OR THE HISTORY OF ARABELLA AND LADY GAY.;"CR 52: 480 (Dec 1781 ); MR 65: 390 (Nov 1781 )."
GILHAM FARM;"GILHAM FARM; OR, THE HISTORY OF MELVIN AND LUCY. IN A SERIES OF LETTERS. IN TWO VOLUMES.";"CR 51: 318 (Apr 1781); MR 64: 71 (Jan 1781)."
*LITERARY AMUSEMENTS;"*LITERARY AMUSEMENTS; OR, EVENING ENTERTAINER. BY A FEMALE HAND. CONTAINING, THE HISTORY OF MR. ALLEN. THE LIFE OF AN AUTHORESS. THE ENCHANTED ROSE. HISTORY OF NOUZHATEL. FATAL CURIOSITY. THE FOX-HUNTERS. EFFECTS OF SEDUCTION. LETTER ON SUICIDE. ON THE STUDIES OF WOMEN. WILLIAM AND PHEBE. THOUGHTS ON FRIENDSHIP. ON RURAL SIMPLICITY. IN TWO VOLUMES.";MR 66: 476 (June 1782).
THE NEW ELOISA;"THE NEW ELOISA; OR THE HISTORY OF MR. SEDLEY, AND MISS WENTWORTH. IN A SERIES OF LETTERS. BY A LADY. IN TWO VOLUMES.";
*THE REVOLUTION;*THE REVOLUTION. A NOVEL IN FOUR VOLUMES.;"CR 52: 76 (July 1781); MR 65: 390-2 (Nov 1781); AF II: 3751."
A SKETCH OF THE TIMES;"A SKETCH OF THE TIMES; OR, THE MEMOIRS OF LORD DERVILLE. IN TWO VOLUMES.";"CR 51: 318 (Apr 1781); MR 64: 71-2 (Jan 1781)."
THE TRIUMPH OF PRUDENCE OVER PASSION;THE TRIUMPH OF PRUDENCE OVER PASSION: OR, THE HISTORY OF MISS MORTIMER AND MISS FITZGERALD. BY THE AUTHORESS . OF EMELINE. IN TWO VOLUMES.;
THE UNFORTUNATE CALEDONIAN IN ENGLAND;"THE UNFORTUNATE CALEDONIAN IN ENGLAND; OR, THE GENUINE MEMOIRS OF AN IMPRESSED YOUNG GENTLEMAN, IN THE YEAR 1779. WRITTEN BY HIMSELF.";"CR52: 159(Aug 178l);MR67: 152 (Aug 1782)."
LETTERS BETWEEN TWO LOVERS;LETTERS BETWEEN TWO LOVERS, AND THEIR FRIENDS. BY THE AUTHOR OF LETTERS SUPPOSED TO HAVE BEEN WRITTEN BY YORICK AND ELIZA. IN THREE VOLUMES.;MR65: 65-6 (July 1781).
LETTERS OF AN ITALIAN NUN AND AN ENGLISH GENTLEMAN;LETTERS OF AN ITALIAN NUN AND AN ENGLISH GENTLEMAN. TRANSLATED FROM THE FRENCH OF J. J. ROUSSEAU.;"MR67: 314 (Oct 1782); AF II: 2538."
THE HISTORY OF THE HON;THE HISTORY OF THE HON. MRS. ROSEMONT, AND SIR HENRY CARDIGAN, IN A SERIES OF LETTERS. IN TWO VOLUMES.;"CR52: 155 (Aug 1781); MR64: 468-9 (June 1781)."
THE MASQUED WEDDINGS;THE MASQUED WEDDINGS, A NOVEL IN A SERIES OF LETTERS. IN TWO VOLUMES.;"CR 52: 480 (Dec 1781); MR65: 392 (Nov 1781)."
THE HISTORY OF JOHN JUNIPER;THE HISTORY OF JOHN JUNIPER, ESQ. ALIAS JUNIPER JACK. CONTAINING THE BIRTH, PARENTAGE, AND EDUCATION, LIFE, ADVENTURES, AND CHARACTER OF THAT MOST WONDERFUL AND SURPRIZING GENTLEMAN. BY THE EDITOR OF THE ADVENTURES OF A GUINEA.;"CR52: 480 (Dec 1781); MR66: 131-3 (Feb 1782);AF II: 2311."
LUCINDA;"LUCINDA; OR, THE SELF-DEVOTED DAUGHTER.";"CR 52: 480 (Dec 1781 ); MR 65: 390 (Nov 1781 ); AF II: 2706."
FASHIONABLE FOLLIES;FASHIONABLE FOLLIES. A NOVEL. CONTAINING THE HISTORY OF A PARISIAN FAMILY. IN TWO VOLUMES.;"MR 66: 395 (May 1782); AF II: 4594."
THE ADVENTURES OF AN ACTOR;THE ADVENTURES OF AN ACTOR, IN THE CHARACTERS OF A MERRYANDREW, A METHODIST-PREACHER, AND A FORTUNE-TELLER. FOUNDED ON FACTS.;
ANNA;ANNA: A SENTIMENTAL NOVEL. IN A SERIES OF LETTERS. IN TWO VOLUMES.;"CR 54: 320 (Oct 1782); MR 67: 70 (July 1782); AF II: 110."
BLANDFORD RACES;BLANDFORD RACES: A NOVEL. IN TWO VOLUMES.;"CR54: 152 (Aug 1782); MR67: 314 (Oct 1782);AFII: 377."
*EXTRACT FROM THE LIFE OF LIEUTENANT HENRY FOLEY;*EXTRACT FROM THE LIFE OF LIEUTENANT HENRY FOLEY, OF HIS MAJESTY'S-REGIMENT OF FOOT.;"MR 68: 358 (Apr 1783); AF II: 1345."
THE FORTUNATE SISTERS;"THE FORTUNATE SISTERS; OR, THE HISTORY OF FANNY AND SOPHIA BEMONT.";"CR 54: 320 (Oct 1782); MR 66: 474 (June 1782); AF II: 1485."
*FRAILTIES OF FASHION;"*FRAILTIES OF FASHION, OR THE ADVENTURES OF AN IRISH SMOCK, INTERSPERSED WITH WHIMSICAL ANECDOTES OF A NANKEEN PAIR OF BREECHES; CONTAINING AMONG A GREAT VARIETY OF CURIOUS CONNEXIONS BETWEEN THE MOST CELEBRATED DEMI REPS AND BEAUX GAR<;ONS UPO~ THE TON. THE SECRET MEMOIRS OF MADAME D,EON, AS RELATED BY HERSELF. AMOURS OF COUNT D,ARTOIS. PRIVATE INTRIGUES OF LADY W-Y AND MRS. N-N.; NEVER BEFORE PUBLISHED. THE FROLICS OF BOARDING SCHOOL MISSES. THE GAMBOLS OF MAIDS OF HONOUR, &C. &C. (EngR).";"CR 55: 234 (Mar 1783); MR 68: 358 (Apr 1783); AF II: 1501."
GENUINE ANECDOTES AND AMOROUS ADVENTURES OF SIR RICHARD EASY;"GENUINE ANECDOTES AND AMOROUS ADVENTURES OF SIR RICHARD EASY, AND LADY WAGTAIL: CONTAINING THE HISTORY OF THE POLITE WORLD FOR THE LAST FIVE YEARS; ALSO INCLUDING THE TETES A TETES, INTRIGUES, AND CONNECTIONS OF THE BEAUX GARCONS AND DEMIREPS UPON THE TON; WITH THEIR CHARACTERS, DISPOSITIONS, AND PURSUITS. BY A MAN OF FASHION.";MR66:475 (June 1782).
AN INTERESTING SKETCH OF GENTEEL LIFE;AN INTERESTING SKETCH OF GENTEEL LIFE. BY A LADY.;"CR 53: 234 (Mar 1782); MR 66: 474 (June 1782)."
THE PHILOSOPHICAL QUIXOTE;"THE PHILOSOPHICAL QUIXOTE; OR, MEMOIR OF MR. DAVID WILKINS. IN A SERIES OF LETTERS.";"CR 54: 438-42 (Dec 1782); MR 68: 273 (Mar 1783); AF II: 3330."
WILMOT;"WILMOT; OR THE PUPIL OF FOLLY. IN FOUR VOLUMES.";"CR 54: 319 (Oct 1782); MR 67: 238 (Sept 1782); AF II: 4847."
THE YOUNG PHILOSOPHER;THE YOUNG PHILOSOPHER, OR THE NATURAL SON. A DRAMATIC NOVEL. IN TWO VOLUMES. ;"CR 53: 234 (Mar 1782); MR 66: 394-5 (May 1782); AF II: 4977."
MOUNT HENNETH;MOUNT HENNETH, A NOVEL. IN TWO VOLUMES.;"CR 54: 152 (Aug 1782); MR 66: 129-31 (Feb 1782); AF II: 195."
*MUTUAL ATTACHMENT;"*MUTUAL ATTACHMENT; OR, THE MEMOIRS OF VICTORIA DE PONTY. A NOVEL. TRANSLATED FROM THE FRENCH.";"CR 57: 233 (Mar 1784); AF II: 3023."
GEORGE BATEMAN;GEORGE BATEMAN: A NOVEL. IN THREE VOLUMES.;"CR 54: 152 (Aug 1782); MR 66: 237 (Mar 1782); AF II: 383."
CECILIA;CECILIA, OR MEMOIRS OF AN HEIRESS. BY THE AUTHOR OF EVELINA. IN FIVE VOLUMES.;"CR 54: 414-20 (Dec 1782); MR 67: 453-8 (Dec 1782); AF II: 548."
*THE LIFE OF MRS;*THE LIFE OF MRS. JUSTMAN.;MR 66: 474 (June 1782).
FRIENDSHIP AND MATRIMONY;"FRIENDSHIP AND MATRIMONY; OR, THE HISTORY OF EMILIA AND HENRY; OF LORD AND LADY P-; AND OF FREDERICK AND FANNY. NOW FIRST PUBLISHED FROM THE SEVERAL ORIGINALS, AS FOUND AMONG THE PAPERS OF THE LATE HENRY MANSEL, ESQ; WITH AN OCCASIONAL PREFACE, BY THE EDITOR. IN A SERIES OF LETTERS. IN TWO VOLUMES.";"CR 54: 319-20 (Oct 1782); MR 66: 474-5 (June 1782); AF II: 1535."
MEMOIRS OF THE RIGHT HONOURABLE LORD VISCOUNT CHERINGTON;MEMOIRS OF THE RIGHT HONOURABLE LORD VISCOUNT CHERINGTON, CONTAINING A GENUINE DESCRIPTION OF THE GOVERNMENT, AND MANNERS OF THE PRESENT PORTUGUESE.;MR 67: 388-90 (Nov 1782).
LOVE FRAGMENTS;LOVE FRAGMENTS. A SERIES OF LETTERS NOW FIRST PUBLISHED BY MR. ROBINSON.;"CR 55: 246 (Mar 1783); MR 68: 275 (1783); AF II: 3817."
THE ADVENTURES OF A RUPEE;THE ADVENTURES OF A RUPEE. WHEREIN ARE INTERSPERSED VARIOUS ANECDOTES ASIA TIC AND EUROPEAN. ;"CR-52: 477-80 (Dec 1781); MR 66: 395-6 (May 1782); AFII: 3977."
THE SIEGE OF AUBIGNY;THE SIEGE OF AUBIGNY. AN HISTORICAL TALE.;MR66: 310 (Apr P82).
OMAR AND ZEMIRA;OMAR AND ZEMIRA: AN EASTERN TALE. FOUNDED ON THE PIETY OF THE ASIATICS. IN TWO VOLUMES.;
THE DOUBLE SURPRISE;THE DOUBLE SURPRISE: A NOVEL. IN A SERIES OF LETTERS. IN TWO VOLUMES.;"CR 56: 477 (Dec 1783); MR 70: 382 (May 1784); AF II: 1127."
THE FAIRY RING;THE FAIRY RING, OR EMELINE, A MORAL TALE, BY A LADY. 1783;"CR 57: 233 (Mar 1784); MR 68: 358 (Apr 1783 ); AF II: 1361."
THE HISTORY OF THE MISS BALTIMORES;"THE HISTORY OF THE MISS BALTIMORES; IN A SERIES OF LETTERS.";"CR 56: 477 (Dec 1783); MR 69: 439 (Nov 1783); AF II: 1973."
THE INCOGNITA;THE INCOGNITA: OR, EMILY VILLARS. A NOVEL. IN TWO VOLUMES.;"CR 56: 477 (Dec 1783); MR 71: 150 (Aug 1784); AF II: 2183."
A LESSON FOR LOVERS;A LESSON FOR LOVERS. OR THE HISTORY OF COLONEL MELVILLE, AND LADY CHARLOTTE RICHLEY.;"CR 55: 234 (Mar 1783); MR68: 91 (Jan 1783);AF II: 2525."
MEMOIRS OF MAITRE JACQUES;MEMOIRS OF MAITRE JACQUES, OF SAVOY. VOL. II.;"CR 55: 234 (Mar 1783); MR68: 274 (Mar 1783); AF II: 2826."
THE ORPHAN;THE ORPHAN. A NOVEL. IN TWO VOLUMES.;"CR 56: 119 (Oct 1783); MR 69: 262-3 (Sept 1783); AF II: 1255."
THE PORTRAIT;THE PORTRAIT. A NOVEL. IN TWO VOLUMES.;"CR56: 477 (Dec 1783);MR69: 439-40 (Nov 1783)."
ADELAIDE AND THEODORE;"ADELAIDE AND THEODORE; OR LETTERS ON EDUCATION: CONTAINING ALL THE PRINCIPLES RELATIVE TO THREE DIFFERENT PLANS OF EDUCATION; TO THAT OF PRINCES, AND TO THOSE OF YOUNG PERSONS OF BOTH SEXES. TRANSLATED FROM THE FRENCH OF MADAME LA COMTESSE DE GENUS.";"CR 56: 300-3 (Oct 1783); MR 70: 338-45 (May 1784); AF II: 508."
THEMIDORE;THEMIDORE. A NOVEL. TRANSLATED FROM THE FRENCH, BY A CITIZEN OF THE WORLD.;"MR69: 172 (Aug 1783);AFII: 1643."
MEMOIRS OF THE MANSTEIN FAMILY;MEMOIRS OF THE MANSTEIN FAMILY. PATHETIC, SENTIMENTAL, HUMOUROUS, AND SATIRICAL. IN TWO VOLUMES.;"CR 56: 3.19 (Oct 1783); MR 69: 261-2 (Sept 1783); AF II: 1830."
SIBERIAN ANECDOTES;SIBERIAN ANECDOTES, A NOVEL. IN THREE VOLUMES. CONTAINING REAL HISTORIES AND LIVING CHARACTER.;"CR 57: 316 (Apr 1784);MR68: 273-4 (Mar 1783); AF II: 4088."
THE FAMILY PICTURE;"THE FAMILY PICTURE; OR, DOMESTIC DIALOGUES ON AMIABLE AND INTERESTING SUBJECTS; ILLUSTRATED BY HISTORIES, ALLEGORIES, TALES, FABLES, ANECDOTES, &C. INTENDED TO STRENGTHEN AND INFORM THE MIND. BY THOMAS HOLCROFT, AUTHOR OF DUPLICITY, A COMEDY.";"EngR 1: 255 ( 1783 ); AF II: 2007."
PHANTOMS;PHANTOMS: OR, THE ADVENTURES OF A GOLD-HEADED CANE. CONTAINING A GENERAL DESCRIPTIVE AND PICTURESQUE VIEW OF HUMAN LIFE. BY THE LATE THEOPHILUS JOHNSON, PROMPTER TO SADLER'S-WELLS. IN TWO VOLUMES.;"CR 57: 234-5 (Mar 1784); MR 71: 150-1 (Aug 1784)."
THE RECESS;"THE RECESS; OR, A TALE OF OTHER TIMES. BY THE AUTHOR OF THE CHAPTER OF ACCIDENTS.";"CR 55: 233-4 (Mar 1783 ); MR 68: 455-6 (May 1783 ); AF II: 2503."
BURTON-WOOD;BURTON-WOOD. IN A SERIES OF LETTERS. BY A LADY.;London: Printed for the Author, by H. D. Steel, No. 51, Lothbury, near Coleman Street, 1783 [vol. 2].
COOMBE WOOD;COOMBE WOOD. A NOVEL: IN A SERIES OF LETTERS. BY THE AUTHOR OF BARFORD ABBEY AND THE COTTAGE. 1783;"CR SS: 333 (Apr 1783); MR 68: 456-7 (May 1783); AF II: 2881."
PICTURES OF THE HEART;PICTURES OF THE HEART, SENTIMENTALLY DELINEATED IN THE DANGER OF THE PASSIONS, AN ALLEGORICAL TALE: THE ADVENTURES OF A FRIEND OF TRUTH, AN ORIENTAL HISTORY, IN TWO PARTS: THE EMBARRASSMENTS OF LOVE, A NOVEL: AND THE DOUBLE DISGUISE, A DRAMA, IN TWO ACTS. BY JOHN MURDOCH. IN TWO VOLUMES.;"CR56: 75-6 (July 1783); MR69: 343 (Oct 1783);AFII: 2999."
THE TWO MENTORS;THE TWO MENTORS: A MODERN STORY. BY THE AUTHOR OF THE OLD ENGLISH BARON.;"CR 55: 333-4 (Apr 1783); MR68: 539 (June 1783); AF II: 3716."
EMILIUS AND SOPHIA;"EMILIUS AND SOPHIA; OR, THE SOLITARIES. BY J. J. ROUSSEAU. BEING A SEQUEL TO EMILIUS. ALSO SOME ADDITIONS TO ELOISA. BY THE SAME AUTHOR. BOTH FOUND AMONGST HIS PAPERS AFTER HIS DECEASE.";"CR 55: 108-9 (Feb 1783); MR68: 396-8 (May 1783)."
THE WOMAN OF LETTERS;"THE WOMAN OF LETTERS; OR, THE HISTORY OF MISS FANNY BELTON. IN TWO VOLUMES.";"CR56: 74 (July 1783); MR 68: 456 (May 1783); AFII: 4168."
THE MAN IN THE MOON;"THE MAN IN THE MOON; OR, TRAVELS INTO THE LUNAR REGIONS, BY THE MAN OF THE PEOPLE.";"CR 55: 470-3 (June 1783); MR 69: 405-10 (Nov 1783); AF II: 4462."
THE ERRORS OF NATURE;THE ERRORS OF NATURE: OR, THE HISTORY OF CHARLES MANLEY. IN THREE VOLUMES.;"MR 70: 163 (Feb 1784); AF II: 4695."
PEGGY AND PATTY;"PEGGY AND PATTY; OR THE SISTERS OF ASHDALE IN FOUR VOLUMES.";"CR 56: 476 (Dec 1783 ); MR 69: 440 (Nov 1783); AF II: 4703."
THE BASTARD;"THE BASTARD; OR, THE HISTORY OF MR. GREVILLE. BY A LADY. DEDICATED, BY PERMISSION, TO HIS ROYAL HIGHNESS THE PRINCE OF WALES. IN TWO VOLUMES.";"CR 58: 227 (Sept 1784); MR 71: 387 (Nov 1784); AF II: 231."
THE HISTORY OF LORD BELFORD;THE HISTORY OF LORD BELFORD, AND MISS SOPHIA WOODLEY. IN A SERIES OF LETTERS.;"CR 58: 397 (Nov 1784); MR 72: 234 (Mar 1785 ); AF II: 1966."
LOYOLA;LOYOLA. A NOVEL.;
THE MODERN ATALANTIS;"THE MODERN ATALANTIS; OR, THE DEVIL IN AN AIR BALLOON. CONTAINING THE CHARACTERS AND SECRET MEMOIRS OF THE MOST CONSPICUOUS PERSONS OF HIGH QUALITY, OF BOTH SEXES, IN THE ISLAND OF LIBERTUSIA, IN THE WESTERN OCEAN. TRANSLATED FROM THE LIBERTUSIAN LANGUAGE.";
THE MYRTLE;THE MYRTLE: OR, EFFECTS OF LOVE. A NOVEL, IN A SERIES OF LETTERS. BY A LADY. IN THREE VOLUMES.;"CR 59: 66 (Jan 1785); MR 73: 236 (Sept 1785); AF II: 3025."
THE RING;THE RING: A NOVEL: IN A SERIES OF LETTERS. BY A YOUNG LADY. IN THREE VOLUMES.;"CR56: 477 (Dec 1783); MR 71: 150 (Aug 1784); AF II: 3793."
ST;ST. RUTHIN'S ABBEY: A NOVEL. IN THREE VOLUMES.;"CR57: 236 (Mar 1784);MR 71: 150 (Aug 1784);AF II: 3931."
THE SENTIMENTAL DECEIVER;THE SENTIMENTAL DECEIVER: OR HISTORY OF MISS HAMMOND. A NOVEL, IN A SERIES OF LETTERS. BY A LADY.;"CR 58: 312 ( 1784); MR 71: 77-8 (July 1784); AF II: 4018."
UNFORTUNATE SENSIBILITY;"UNFORTUNATE SENSIBILITY; OR, THE LIFE OF MRS. L******. WRITTEN BY HERSELF. IN A SERIES OF SENTIMENTAL LETTERS. DEDICATED TO MR. YORICK, IN THE ELYSIAN FIELDS. IN TWO VOLUMES.";"CR 57: 397 (May 1784); MR 71: 149-50 (Aug 1784); AF II: 4578."
THE MAID OF THE FARM;"THE MAID OF THE FARM; OR MEMOIRS OF SUSANNAH JAMES: CONTAINING, I. THE CHARACTER OF LORD THALEY, AND HIS PERFIDIOUS FRIEND SIR THO. THOWARD. II THE EDUCATION AND CHARACTER OF THE GOOD FARMER JAMES, AND HIS BEAUTIFUL DAUGHTER SUSANNAH. III. THE PARTICULARS OF LORD THALEY FALLING IN LOVE WITH THE AMIABLE SUSANNAH, AND THE GROWTH OF THEIR MUTUAL PASSION FOR EACH OTHER. IV. LORD THALEY COMES UP TO LONDON, -TO CURE THE WOUND SUSANNAH HAD MADE IN HIS HEART. V. FARMER JAMES USES EVERY MEANS TO PERSUADE LORD THALEY FROM MARRYING HIS DAUGHTER SUSANNAH. VI. BY THE TREACHERY OF SIR THOMAS THOWARD, SUSANNAH IS POSSESSED BY THALEY, UNDER THE MASK OF A FALSE MARRIAGE. VII. LORD THALEY RUINS AND ABANDONS THE BEAUTIFUL SUSANNAH. VIII. THE PERFIDIOUS THOWARD AND LORD THALEY COME UP TO TOWN, AND GIVE INTO ALL SCENES OF RIOT AND DEBAUCHERY. IX. LORD THALEY MARRIES A RICH LADY, WITH WHOM HE GOES ABROAD AND IS MISERABLE. X. FARMER JAMES AND HIS FAMILY REDUCED TO THE MOST SHOCKING STATE OF POVERTY AND DISTRESS. IX. LADY THALEY DIES, WHEN HE AND THOW ARD RETURN AGAIN TO LONDON, TO THEIR USUAL HAUNTS OF RIOT AND DISSIPATION. XII. THE PERFIDIOUS THOWARD IS KILLED IN A DUEL, BY AN OFFICER, WHO REVENGES THE CAUSE OF THE UNFORTUNATE SUSANNAH. XIII. LORD THALEY REPENTS OF HIS CRIMES, AND GOES IN PURSUIT OF SUSANNAH. XIV. AFFECTING SCENE AT THE MEETING OF LORD THALEY AND SUSANNAH. XV. LORD THALEY AND SUSANNAH ARE MARRIED, AND SPEND THE REMAINDER OF THEIR DAYS IN HAPPINESS. BY THEOPHILUS JAMES BACON, ESQ.";
BARHAM DOWNS;BARHAM DOWNS. A NOVEL. IN TWO VOLUMES. BY THE AUTHOR OF MOUNT BENNETH.;"CR 58: 75-6 (July 1784); MR 71: 223-4 (Sept 1784); AF II: 189."
